Date,Open,High,Low,Close,Adj Close,Volume
2011-11-21,48.389999,48.450001,46.450001,46.450001,36.428917,93480400
2011-11-28,48.470001,51.480000,48.119999,50.790001,39.832615,125932900
2011-12-05,51.759998,51.810001,49.740002,51.040001,40.028679,115720600
2011-12-12,49.950001,50.139999,48.119999,48.340000,37.911175,139905900
2011-12-19,48.580002,49.509998,47.830002,49.509998,38.828758,124498800
2011-12-26,49.340000,49.599998,48.389999,49.529999,39.311516,93369200
2012-01-02,50.540001,51.020000,49.070000,49.150002,39.009914,92904500
2012-01-09,49.450001,50.250000,48.990002,49.599998,39.367077,70466800
2012-01-16,50.250000,52.189999,50.130001,51.930000,41.216381,77094700
2012-01-23,52.020000,52.980000,51.380001,52.490002,41.660847,104492500
2012-01-30,51.650002,53.930000,51.560001,53.900002,42.779953,110296700
2012-02-06,53.369999,54.430000,53.110001,53.270000,42.279919,91356700
2012-02-13,53.930000,54.599998,53.110001,54.520000,43.272041,90677600
2012-02-20,54.709999,55.310001,54.189999,55.150002,43.772068,71520200
2012-02-27,54.410000,55.639999,54.290001,54.770000,43.470455,105400700
2012-03-05,54.660000,54.770000,52.590000,54.360001,43.145042,94337600
2012-03-12,54.160000,55.720001,53.889999,55.509998,44.057793,86630800
2012-03-19,55.340000,55.910000,54.060001,54.779999,43.478397,79773000
2012-03-26,55.189999,55.560001,53.970001,54.889999,43.565704,103426300
2012-04-02,54.639999,55.680000,52.860001,53.020000,42.081501,80108500
2012-04-09,52.459999,53.410000,51.650002,52.320000,41.525913,109663300
2012-04-16,52.730000,53.669998,52.290001,53.450001,42.422787,96574000
2012-04-23,52.410000,54.160000,52.040001,54.060001,42.906944,89301400
2012-04-30,53.820000,54.220001,52.220001,52.270000,41.486237,82480100
2012-05-07,52.270000,52.700001,50.610001,51.160000,40.605232,103838000
2012-05-14,50.360001,50.580002,47.680000,48.110001,38.184479,112004300
2012-05-21,48.500000,49.580002,47.750000,48.099998,38.176544,122557800
2012-05-28,48.689999,48.939999,46.529999,46.549999,36.946323,117324900
2012-06-04,46.990002,49.290001,46.599998,48.509998,38.501961,92600200
2012-06-11,49.020000,49.560001,47.990002,49.500000,39.287708,86289400
2012-06-18,49.240002,50.830002,47.990002,48.439999,38.446396,112439900
2012-06-25,47.630001,49.990002,47.250000,49.959999,40.576565,132758300
2012-07-02,50.099998,50.790001,49.139999,49.439999,40.154243,71733700
2012-07-09,49.169998,49.639999,48.230000,49.349998,40.081139,89777700
2012-07-16,49.209999,50.419998,48.860001,49.150002,39.918705,81158800
2012-07-23,47.840000,50.580002,47.290001,50.369999,40.909561,87510600
2012-07-30,50.090000,51.130001,48.939999,50.990002,41.413124,130700800
2012-08-06,51.209999,52.049999,51.130001,51.869999,42.127827,73619300
